Objectnummer,street,huisnummer,postcode,city,Country,Longitude,Latitude,maps_url,Province
11919874063,Wemmingen,25,2151 RL,Nieuw-Vennep,Netherlands,4.623136,52.2578272,"https://www.google.com/maps?q=52.2578272,4.623136",North Holland
11919874064,Wemmingen,6,2151 RK,Nieuw-Vennep,Netherlands,4.6237905,52.2583889,"https://www.google.com/maps?q=52.2583889,4.6237905",North Holland
11919874065,Landei,1,2151 SR,Nieuw-Vennep,Netherlands,4.6221197,52.2591823,"https://www.google.com/maps?q=52.2591823,4.6221197",North Holland
11919874066,Wemmingen,35,2151 RL,Nieuw-Vennep,Netherlands,4.6225549,52.2576817,"https://www.google.com/maps?q=52.2576817,4.6225549",North Holland
11919874067,Landei,3,2151 SR,Nieuw-Vennep,Netherlands,4.6224779,52.2591117,"https://www.google.com/maps?q=52.2591117,4.6224779",North Holland
11919874068,Wemmingen,11,2151 RH,Nieuw-Vennep,Netherlands,4.6210487,52.2580969,"https://www.google.com/maps?q=52.2580969,4.6210487",North Holland
11919885869,Wemmingen,19,2151 RJ,Nieuw-Vennep,Netherlands,4.6204934,52.2583177,"https://www.google.com/maps?q=52.2583177,4.6204934",North Holland
11919885870,Wemmingen,39,2151 RM,Nieuw-Vennep,Netherlands,4.6221079,52.2575437,"https://www.google.com/maps?q=52.2575437,4.6221079",North Holland
11919885871,Wemmingen,15,2151 RH,Nieuw-Vennep,Netherlands,4.6207732,52.258208,"https://www.google.com/maps?q=52.258208,4.6207732",North Holland
11919885872,Wemmingen,36,2151 RL,Nieuw-Vennep,Netherlands,4.6224879,52.2577094,"https://www.google.com/maps?q=52.2577094,4.6224879",North Holland
11919885873,Landei,24,2151 RE,Nieuw-Vennep,Netherlands,4.6222847,52.2588592,"https://www.google.com/maps?q=52.2588592,4.6222847",North Holland
11919885874,Landei,9,2151 SR,Nieuw-Vennep,Netherlands,4.6230984,52.2587832,"https://www.google.com/maps?q=52.2587832,4.6230984",North Holland
11919885875,Landei,3,2151 SR,Nieuw-Vennep,Netherlands,4.6223313,52.2590536,"https://www.google.com/maps?q=52.2590536,4.6223313",North Holland
11919885876,Wemmingen,9,2151 RK,Nieuw-Vennep,Netherlands,4.6239824,52.2582498,"https://www.google.com/maps?q=52.2582498,4.6239824",North Holland
11921572547,Vronen,34,2151 PC,Nieuw-Vennep,Netherlands,4.6256191,52.2599497,"https://www.google.com/maps?q=52.2599497,4.6256191",North Holland
11921572548,Landei,10,2151 SR,Nieuw-Vennep,Netherlands,4.6234573,52.2590749,"https://www.google.com/maps?q=52.2590749,4.6234573",North Holland
11921572549,Kreilerhof,32,2151 PJ,Nieuw-Vennep,Netherlands,4.62718,52.2607551,"https://www.google.com/maps?q=52.2607551,4.62718",North Holland
11921572550,Kreilerhof,29,2151 PJ,Nieuw-Vennep,Netherlands,4.6261063,52.2604724,"https://www.google.com/maps?q=52.2604724,4.6261063",North Holland
11921572551,Vronen,38,2151 PC,Nieuw-Vennep,Netherlands,4.6257322,52.2598887,"https://www.google.com/maps?q=52.2598887,4.6257322",North Holland
11921572552,Kreilerhof,19,2151 PJ,Nieuw-Vennep,Netherlands,4.6258161,52.2606309,"https://www.google.com/maps?q=52.2606309,4.6258161",North Holland
11921572553,Vronen,194,2151 PH,Nieuw-Vennep,Netherlands,4.6242349,52.2599559,"https://www.google.com/maps?q=52.2599559,4.6242349",North Holland
11921572554,Kreilerhof,24,2151 PJ,Nieuw-Vennep,Netherlands,4.6269013,52.2608605,"https://www.google.com/maps?q=52.2608605,4.6269013",North Holland
11921572555,Oddinkhem,9,2151 SP,Nieuw-Vennep,Netherlands,4.6218546,52.2597615,"https://www.google.com/maps?q=52.2597615,4.6218546",North Holland
11921572556,Vronen,46,2151 PD,Nieuw-Vennep,Netherlands,4.6264339,52.2599069,"https://www.google.com/maps?q=52.2599069,4.6264339",North Holland
11921572557,Vronen,164,2151 PH,Nieuw-Vennep,Netherlands,4.6230012,52.2596663,"https://www.google.com/maps?q=52.2596663,4.6230012",North Holland
11921572558,Oddinkhem,1,2151 SP,Nieuw-Vennep,Netherlands,4.6215041,52.2597629,"https://www.google.com/maps?q=52.2597629,4.6215041",North Holland
11921572559,Wemmingen,13,2151 RC,Nieuw-Vennep,Netherlands,4.6211796,52.2584689,"https://www.google.com/maps?q=52.2584689,4.6211796",North Holland
11921572560,Vronen,68,2151 PD,Nieuw-Vennep,Netherlands,4.6258989,52.2595264,"https://www.google.com/maps?q=52.2595264,4.6258989",North Holland
11921572561,Kreilerhof,25,2151 PJ,Nieuw-Vennep,Netherlands,4.6259857,52.2605331,"https://www.google.com/maps?q=52.2605331,4.6259857",North Holland
11921572562,Landei,10,2151 SR,Nieuw-Vennep,Netherlands,4.623376,52.2590893,"https://www.google.com/maps?q=52.2590893,4.623376",North Holland
11921572563,Vronen,186,2151 PH,Nieuw-Vennep,Netherlands,4.6240218,52.2598311,"https://www.google.com/maps?q=52.2598311,4.6240218",North Holland
11921572564,Oddinkhem,19,2151 RD,Nieuw-Vennep,Netherlands,4.6214002,52.2588725,"https://www.google.com/maps?q=52.2588725,4.6214002",North Holland
11921572565,Vagerveld,64,2151 ZD,Nieuw-Vennep,Netherlands,4.6237812,52.2603665,"https://www.google.com/maps?q=52.2603665,4.6237812",North Holland
11921572566,Oddinkhem,17,2151 RD,Nieuw-Vennep,Netherlands,4.6213519,52.2587531,"https://www.google.com/maps?q=52.2587531,4.6213519",North Holland
11921572567,Kreilerhof,26,2151 PJ,Nieuw-Vennep,Netherlands,4.6269537,52.260818,"https://www.google.com/maps?q=52.260818,4.6269537",North Holland
11921572568,Vronen,138,2151 PG,Nieuw-Vennep,Netherlands,4.6236412,52.2591428,"https://www.google.com/maps?q=52.2591428,4.6236412",North Holland
11921581069,Oddinkhem,27,2151 RD,Nieuw-Vennep,Netherlands,4.6217071,52.25931,"https://www.google.com/maps?q=52.25931,4.6217071",North Holland
11921581070,Vronen,54,2151 PD,Nieuw-Vennep,Netherlands,4.6262259,52.2597698,"https://www.google.com/maps?q=52.2597698,4.6262259",North Holland
11921581071,Kreilerhof,28,2151 PJ,Nieuw-Vennep,Netherlands,4.6270257,52.260797,"https://www.google.com/maps?q=52.260797,4.6270257",North Holland
11921581072,Oddinkhem,21,2151 RD,Nieuw-Vennep,Netherlands,4.6215006,52.2589355,"https://www.google.com/maps?q=52.2589355,4.6215006",North Holland
11921581073,Kreilerhof,43,2151 PK,Nieuw-Vennep,Netherlands,4.6264987,52.2602653,"https://www.google.com/maps?q=52.2602653,4.6264987",North Holland
11921581074,Kalslagerring,,2151 ZK,Nieuw-Vennep,Netherlands,4.6236253,52.2598603,"https://www.google.com/maps?q=52.2598603,4.6236253",North Holland
11921581075,Oddinkhem,6,2151 SP,Nieuw-Vennep,Netherlands,4.6219182,52.2598893,"https://www.google.com/maps?q=52.2598893,4.6219182",North Holland
11921581076,Vronen,22,2151 PC,Nieuw-Vennep,Netherlands,4.6252534,52.2601168,"https://www.google.com/maps?q=52.2601168,4.6252534",North Holland
11921581077,Kreilerhof,15,2151 PJ,Nieuw-Vennep,Netherlands,4.6254628,52.2605183,"https://www.google.com/maps?q=52.2605183,4.6254628",North Holland
11921581078,Vronen,76,2151 PD,Nieuw-Vennep,Netherlands,4.6257055,52.2593818,"https://www.google.com/maps?q=52.2593818,4.6257055",North Holland
